id,match,name,score,type,type_id,input_value
Q11090,True,small intestine,100.0,anatomical structure,Q4936952,Small intestine
Q180569,True,tonsil,100.0,anatomical structure,Q4936952,Tonsil
Q1293511,True,cortex,100.0,plant structure,Q20011319,Cortex
Q5982337,True,colon,100.0,anatomical structure,Q4936952,Colon
Q2307492,True,renal cortex,100.0,anatomical structure,Q4936952,Kidney cortex
Q937403,True,Subventricular zone,50.0,[],,Subventricular zone
Q546523,True,bone marrow,100.0,tissue,Q40397,Bone marrow
Q4737958,True,alveolar rhabdomyosarcoma,50.0,[],,Alveolar rhabdomyosarcoma
Q9382,True,urinary bladder,100.0,anatomical structure,Q4936952,Bladder
Q9384,True,testicle,100.0,anatomical structure,Q4936952,Testis
Q163987,True,thymus,100.0,anatomical structure,Q4936952,Thymus
Q1120914,True,placenta,100.0,plant structure,Q20011319,Placenta
Q1212935,True,placenta,100.0,organ,Q712378,Placenta
Q613203,True,calvaria,50.0,[],,Calvaria
Q9377,True,kidney,100.0,anatomical structure,Q4936952,Kidney
Q9371,True,spleen,100.0,anatomical structure,Q4936952,Spleen
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q9368,True,liver,100.0,anatomical structure,Q4936952,Liver
Q1029907,True,stomach,100.0,anatomical structure,Q4936952,Stomach
Q1074,True,skin,100.0,anatomical structure,Q4936952,Skin
Q9631,True,ovary,100.0,anatomical structure,Q4936952,Ovary
Q148515,True,ovary,100.0,plant structure,Q20011319,Ovary
Q130983,True,cerebellum,100.0,brain region,Q1620186,Cerebellum
Q9612,True,uterus,100.0,anatomical structure,Q4936952,Uterus
Q189033,True,medulla oblongata,100.0,brain region,Q1620186,Medulla oblongata
Q184215,True,thalamus,100.0,brain region,Q1620186,Thalamus
Q66575252,True,dorsal striatum,50.0,[],,Dorsal striatum
Q7920296,True,ventral striatum,100.0,brain region,Q1620186,Ventral striatum
Q545787,True,dentate gyrus,100.0,gyrus,Q1758383,Dentate gyrus
Q9606,True,spinal cord,100.0,anatomical structure,Q4936952,Spinal cord
Q192570,True,pons,100.0,brain region,Q1620186,Pons
Q164386,True,hypothalamus,100.0,anatomical structure,Q4936952,Hypothalamus
Q338924,True,amygdala,100.0,brain region,Q1620186,Amygdala
Q644945,True,olfactory bulb,100.0,biogenic substance,Q289472,Olfactory bulb?
Q644945,True,olfactory bulb,100.0,biogenic substance,Q289472,Olfactory bulb
Q64926247,True,somatosensory cortex,50.0,[],,Somatosensory cortex
Q586582,True,enteric nervous system,100.0,anatomical structure,Q4936952,Enteric nervous system
Q187215,True,sympathetic nervous system,100.0,anatomical structure,Q4936952,Sympathetic nervous system
Q876089,True,left ventricle,100.0,anatomical structure,Q4936952,Left Ventricle
Q2307492,True,renal cortex,100.0,anatomical structure,Q4936952,Renal cortex
Q3384920,True,Embryoid body,50.0,[],,Embryoid body
Q913628,True,lacrimal gland,100.0,anatomical structure,Q4936952,Lacrimal gland
Q3384920,True,Embryoid body,50.0,[],,Embryoid body
Q546523,True,bone marrow,100.0,tissue,Q40397,Bone marrow
Q169342,True,retina,100.0,anatomical structure,Q4936952,Retina
Q101004,True,aorta,100.0,artery,Q9655,Aorta
Q169342,True,retina,100.0,anatomical structure,Q4936952,Retina
Q215620,True,heart valve,100.0,anatomical structure,Q4936952,Heart valve
Q1881253,True,MCF-7,100.0,cell line,Q21014462,Breast cancer cell line
Q728309,True,islet of Langerhans,100.0,anatomical structure,Q4936952,Pancreatic islets
Q719179,True,lateral geniculate nucleus,100.0,brain region,Q1620186,Lateral geniculate nucleus
Q654528,True,white adipose tissue,50.0,[],,White adipose tissue
Q5982337,True,colon,100.0,anatomical structure,Q4936952,Colon
Q3052544,True,olfactory epithelium,50.0,[],,Olfactory epithelium
Q11788632,True,Olfactory epithelium,50.0,[],,Olfactory epithelium
Q156871,True,pituitary gland,100.0,anatomical structure,Q4936952,Pituitary gland
Q9371,True,spleen,100.0,anatomical structure,Q4936952,Spleen
Q9368,True,liver,100.0,anatomical structure,Q4936952,Liver
Q9384,True,testicle,100.0,anatomical structure,Q4936952,Testicle
Q1120914,True,placenta,100.0,plant structure,Q20011319,Placenta
Q1212935,True,placenta,100.0,organ,Q712378,Placenta
Q2531387,True,Decidua,50.0,[],,Decidua
Q66591851,True,decidua,50.0,[],,Decidua
Q579886,True,submandibular gland,100.0,anatomical structure,Q4936952,Submandibular Gland
Q317857,True,cochlea,100.0,anatomical structure,Q4936952,Cochlea
Q9384,True,testicle,100.0,anatomical structure,Q4936952,Testis
Q192419,True,diencephalon,100.0,anatomical structure,Q4936952,Diencephalon
Q42303837,True,diencephalon,100.0,embryonic structure,Q30062554,Diencephalon
Q175449,True,trachea,100.0,anatomical structure,Q4936952,Trachea
Q9614,True,tongue,100.0,anatomical structure,Q4936952,Tongue
Q193583,True,adipose tissue,100.0,tissue,Q40397,Fat
Q9625,True,prostate,100.0,material anatomical entity,Q27043948,Prostate
Q5281607,True,arthropod mandible,100.0,anatomical structure,Q4936952,Mandible
Q728309,True,islet of Langerhans,100.0,anatomical structure,Q4936952,Pancreatic islets
Q75785,True,visual cortex,100.0,anatomical structure,Q4936952,Visual cortex
Q509615,True,Intestinal epithelium,50.0,[],,Intestinal epithelium
Q66714029,True,Intestinal epithelium,50.0,[],,Intestinal epithelium
Q914952,True,cord blood,50.0,[],,Cord blood
Q1137072,True,rhombencephalon,100.0,embryonic structure,Q30062554,Hindbrain
Q926250,True,choroid plexus,50.0,[],,Choroid plexus
